Age_Gyr,age_err,N,sigma_r_kms,sigma_r_err,sigma_phi_kms,sigma_phi_err,sigma_z_kms,sigma_z_err
1.4,0.3,100,21.7,2.0,12.5,1.5,8.2,1.1
1.9,0.3,100,21.6,2.0,17.1,1.6,10.3,1.1
2.3,0.2,100,24.7,2.1,18.9,1.8,10.6,1.1
2.6,0.2,115,31.2,2.4,18.6,1.7,10.8,1.1
3.1,0.2,152,31.9,2.1,17.5,1.4,12.3,1.0
3.6,0.3,233,32.8,1.7,18.7,1.0,13.8,0.9
4.1,0.3,391,32.4,1.3,19.8,0.8,14.1,0.7
4.5,0.3,400,34.9,1.4,20.5,0.9,14.1,0.6
5.0,0.3,400,37.5,1.5,22.2,0.9,16.8,0.7
5.5,0.4,400,38.4,1.5,22.8,1.0,19.5,0.8
6.1,0.5,361,43.0,1.8,24.8,1.1,21.2,0.9
7.0,0.5,257,47.5,2.2,28.9,1.6,24.5,1.3
8.0,0.6,169,50.6,3.0,32.8,2.1,29.2,2.0
9.5,0.7,157,51.7,3.3,36.4,2.4,34.2,2.2
10.2,0.5,100,56.7,4.3,35.3,3.0,37.8,3.0

