CLUSTER,DR2NAME,DR2_NUM,ID,ID_SOURCE,RA,DEC,BP_RP,GMAG,AGE,AV,PLX,DISTANCE,DM,BP_RP_0,M_G,BINARY_SHORT,BINARY_WIDE,PROT,E_PROT,PROT_REF,TEFF,MASS,BENCH
"Pleiades","Gaia DR2 67656665605333888","67656665605333888","210991540","EPIC",52.95779022006000,22.83999770452000,2.90810,16.6659,120.000,0.120000,8.15610,136.144,5.67000,2.85819,10.8928,0.00000,0.00000,0.574900,0.00000,"Rebull et al. (2016)",3241.33,0.232464,0
"Pleiades","Gaia DR2 67878663874731136","67878663874731136","211016313","EPIC",53.03286144733000,23.23243213127000,2.86370,16.1345,120.000,0.120000,6.91680,136.144,5.67000,2.81379,10.3614,0.00000,0.00000,0.319300,0.00000,"Rebull et al. (2016)",3265.81,0.245431,0
"Pleiades","Gaia DR2 67899520235887616","67899520235887616","211029135","EPIC",53.15763094694000,23.43292343768000,3.19790,17.2195,120.000,0.120000,7.21670,136.144,5.67000,3.14799,11.4464,0.00000,0.00000,0.286000,0.00000,"Rebull et al. (2016)",3097.46,0.175724,0
"Pleiades","Gaia DR2 67998201404864896","67998201404864896","211037397","EPIC",53.17636405151000,23.56656669616000,3.10000,16.6720,120.000,0.120000,7.20800,136.144,5.67000,3.05009,10.8989,0.00000,0.00000,0.499000,0.00000,"Rebull et al. (2016)",3144.56,0.189588,0
"Pleiades","Gaia DR2 61554650949438208","61554650949438208","210946764","EPIC",53.27436936179000,22.13405363809000,1.01560,11.1998,120.000,0.120000,7.43400,136.144,5.67000,0.965686,5.42669,0.00000,0.00000,5.76600,0.00000,"Rebull et al. (2016)",5354.53,0.926133,0
"Pleiades","Gaia DR2 67680854859714816","67680854859714816","211002011","EPIC",53.30800319775000,23.00623933884000,1.16730,11.6915,120.000,0.120000,7.91840,136.144,5.67000,1.11739,5.91839,0.00000,0.00000,7.64950,0.00000,"Rebull et al. (2016)",4977.78,0.837779,0
"Pleiades","Gaia DR2 67667935599570432","67667935599570432","210997742","EPIC",53.45758278805000,22.93867055371000,2.97650,17.2379,120.000,0.120000,7.19300,136.144,5.67000,2.92659,11.4648,0.00000,0.00000,0.374400,0.00000,"Rebull et al. (2016)",3205.27,0.213421,0
"Pleiades","Gaia DR2 67662330666441088","67662330666441088","210989751","EPIC",53.58075226560000,22.81160576855000,3.42260,18.4158,120.000,0.120000,7.02500,136.144,5.67000,3.37269,12.6427,0.00000,0.00000,0.713000,0.00000,"Rebull et al. (2016)",2954.95,0.140295,0
"Pleiades","Gaia DR2 64555694921236352","64555694921236352","210943453","EPIC",53.72901627649000,22.07945287411000,2.45240,15.0871,120.000,0.120000,7.11150,136.144,5.67000,2.40249,9.31399,0.00000,0.00000,0.827500,0.00000,"Rebull et al. (2016)",3524.86,0.430484,0
"Pleiades","Gaia DR2 68014964661425280","68014964661425280","211051561","EPIC",53.81787349507000,23.79925086361000,3.25580,17.4115,120.000,0.120000,7.41310,136.144,5.67000,3.20589,11.6384,0.00000,0.00000,0.472500,0.00000,"Rebull et al. (2016)",3067.81,0.167010,0
